C,gamma,E_train,E_Validation,Time
0.01,0.0001,0.88644,0.8936, 1:18:36.414841
0.01,0.001,0.25374,0.2279, 1:02:59.338034
0.01,0.01,0.0939,0.0822, 0:33:04.407952
0.01,0.1,0.7843,0.7828, 1:12:51.086840
0.01,1,0.88644,0.8936, 1:27:47.568377
0.1,0.0001,0.23658,0.2105, 1:02:31.281172
0.1,0.001,0.09824,0.0861, 0:23:53.280465
0.1,0.01,0.04702,0.0422, 0:11:16.622321
0.1,0.1,0.28952,0.3125, 0:50:24.369580
0.1,1,0.88644,0.8936, 1:30:14.722008
1,0.0001,0.0997,0.0879, 0:19:19.807349
1,0.001,0.06422,0.0589, 0:07:41.350515
1,0.01,0.01526,0.0223, 0:04:10.119237
1,0.1,4.00E-05,0.0448, 1:16:10.113186
1,1,0,0.8176, 2:39:45.561629
10,0.0001,0.06864,0.0631, 0:09:08.717316
10,0.001,0.03794,0.0408, 0:04:48.727008
10,0.01,0.00058,0.0165, 0:04:11.820380
10,0.1,0,0.0434, 1:31:53.479140
10,1,0,0.8138, 4:13:25.293494
100,0.0001,0.04984,0.0524, 0:04:55.715489
100,0.001,0.00942,0.0282, 0:03:51.994999
100,0.01,0,0.0168, 0:04:13.390057
100,0.1,0,0.0434, 1:32:34.753810
100,1,0,0.8138, 3:36:59.474773
